3 EL|Pflanzenöl
1 m.-große|Zwiebel(n)
2 m.-große|Lauchstange(n)
2 große|Knoblauchzehe(n)
2 TL|Koriander, gemahlen
2 TL|Kreuzkümmel, gemahlen
½ TL|Chiliflocken
1 TL|Zimtpulver
400 g|Tomaten, stückige, aus der Dose
1 Dose|Kichererbsen, abgetropft
100 g|Linsen, rote, getrocknet
400 g|Süßkartoffel(n), geschält und 1 cm große Stücke geschnitten
2|Paprikaschote(n), rot, entkernt und in 2 cm große Stücke geschnitten
400 ml|Gemüsebrühe, heiße
1|Orange(n), dicke Zesten mit dem Gemüseschäler abgeschnitten
