650 g|Schweinefilet(s)
150 g|Bacon, möglichst lang geschnitten
3 EL|Öl, alternativ Butterschmalz
750 g|Champignons, möglichst braune
50 g|Butter
100 g|Schinkenspeck, gewürfelt, alternativ Baconwürfel
2 m.-große|Zwiebel(n)
2 Zehe/n|Knoblauch
1 EL|Tomatenmark
200 ml|Sahne
100 ml|Crème fraîche
100 ml|Brühe
100 ml|Weißwein
etwas|Worcestersauce
etwas|Salz und Pfeffer
evtl.|Mehl oder Mondamin zum Binden
n. B.|Kräuter (Petersilie, Schnittlauch o.Ä.)
400 g|Spätzle
1 TL, gehäuft|Salz
2 EL|Öl
etwas|Butter
