16 m.-große|Pellkartoffel(n)
800 g|Raclettekäse, in Scheiben geschnitten
1 EL|Öl für die Förmchen und den Grill
8 Scheibe/n|Leberkäse (Fleischkäse), 3 mm dick geschnitten, dann geviertelt
4|Bratwurst, das Brät zu kleinen Frikadellen geformt
500 g|Gehacktes (Rind), als kleine Frikadellen zubereitet
1|Schweinefilet(s), in Scheiben geschnittene
½ Ring/e|Blutwurst, in Scheiben geschnittene
200 g|Champignons, in Scheiben geschnittene
1|Brokkoli, bissfest vorgegart, abgeschreckt, in Röschen geteilt
3|Paprikaschote(n), bunte, in Stücke geschnittene
4|Zwiebel(n), klein geschnittene
½ Dose|Mais
1|Zucchini, in Scheiben geschnittene
2|Tomate(n), in Scheiben geschnittene
½ Glas|Oliven, schwarze und grüne gemischt
|Salz
|Pfeffer, bunter
|Muskat
